epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.7138,0.27164,0.22085,0.80994,0.72251,0.80938,0.77321,0.55663,1.18673,1.26228,1.30489,0.00018,0.00018,0.00018
2,59.1849,0.26335,0.21196,0.80868,0.69327,0.81525,0.76733,0.5426,1.23339,1.17057,1.35963,0.000366337,0.000366337,0.000366337
3,86.3264,0.26102,0.21072,0.8072,0.71654,0.80059,0.76093,0.53456,1.2486,1.18624,1.37849,0.000548912,0.000548912,0.000548912
4,113.638,0.3003,0.23401,0.81906,0.74317,0.79765,0.76337,0.52534,1.29091,1.30062,1.43634,0.000727725,0.000727725,0.000727725
5,142.798,0.32184,0.24518,0.81708,0.67442,0.59531,0.63177,0.40554,1.53151,2.19071,1.55241,0.000902776,0.000902776,0.000902776
6,168.621,0.32429,0.25078,0.81742,0.74155,0.7068,0.7091,0.46497,1.33268,1.26938,1.47435,0.0009505,0.0009505,0.0009505
7,198.202,0.35036,0.26554,0.82527,0.69799,0.60997,0.67352,0.47035,1.32711,1.96058,1.45273,0.0009406,0.0009406,0.0009406
8,228.942,0.35658,0.26682,0.82509,0.80367,0.55221,0.66599,0.44025,1.34498,1.76094,1.40612,0.0009307,0.0009307,0.0009307
9,261.141,0.35932,0.2721,0.82583,0.79147,0.6901,0.74481,0.52252,1.19487,1.33908,1.30575,0.0009208,0.0009208,0.0009208
10,291.477,0.34634,0.26314,0.82169,0.72883,0.72727,0.73801,0.51364,1.26295,1.21529,1.38431,0.0009109,0.0009109,0.0009109
11,314.54,0.36766,0.26537,0.83042,0.67263,0.77126,0.74406,0.5124,1.29099,1.35337,1.36538,0.000901,0.000901,0.000901
12,340.194,0.3672,0.26672,0.82842,0.69167,0.4868,0.5841,0.37839,1.6459,2.87015,1.61783,0.0008911,0.0008911,0.0008911
13,368.946,0.34597,0.26066,0.82591,0.65796,0.739,0.71168,0.50121,1.25445,1.52328,1.34895,0.0008812,0.0008812,0.0008812
14,398.275,0.36149,0.26533,0.83006,0.77328,0.63012,0.72026,0.49058,1.30782,1.34688,1.37985,0.0008713,0.0008713,0.0008713
15,430.274,0.34367,0.25797,0.82209,0.79149,0.70968,0.75291,0.5237,1.23479,1.18651,1.36195,0.0008614,0.0008614,0.0008614
16,458.807,0.32095,0.24393,0.81846,0.68805,0.69208,0.70207,0.49114,1.28745,1.72736,1.39475,0.0008515,0.0008515,0.0008515
17,481.122,0.33433,0.25399,0.82462,0.75628,0.69158,0.71388,0.5047,1.22599,1.25293,1.34675,0.0008416,0.0008416,0.0008416
18,505.48,0.32955,0.25137,0.82231,0.73888,0.67214,0.71056,0.48989,1.2387,1.44685,1.35516,0.0008317,0.0008317,0.0008317
19,534.777,0.34223,0.25493,0.82324,0.68273,0.63636,0.67117,0.45039,1.37188,1.42942,1.47008,0.0008218,0.0008218,0.0008218
20,564.11,0.33478,0.25584,0.82125,0.75342,0.75265,0.75617,0.51818,1.26199,1.14285,1.3856,0.0008119,0.0008119,0.0008119
21,593.775,0.33327,0.25461,0.82494,0.76943,0.65396,0.73615,0.51013,1.24814,1.34954,1.33927,0.000802,0.000802,0.000802
22,622.315,0.35768,0.26567,0.82914,0.67337,0.78592,0.75524,0.52974,1.24635,1.31554,1.36355,0.0007921,0.0007921,0.0007921
23,643.848,0.34962,0.26008,0.82267,0.68702,0.79179,0.73838,0.52479,1.23084,1.29303,1.33702,0.0007822,0.0007822,0.0007822
24,669.137,0.32343,0.25248,0.82394,0.77637,0.66176,0.72889,0.51026,1.22812,1.44194,1.34461,0.0007723,0.0007723,0.0007723
25,698.194,0.32748,0.24827,0.8197,0.68974,0.78886,0.72739,0.50944,1.26697,1.18715,1.39784,0.0007624,0.0007624,0.0007624
