epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.67673,2.86979,3.74056,2.51384,0.00949,0.33333,0.01759,0.01026,1.92494,3.53067,1.97313,1e-05,1e-05,1e-05
2,5.33807,2.65285,3.67981,2.36493,0.01657,0.33333,0.01706,0.00916,1.98067,3.55573,1.9865,2.901e-05,2.901e-05,2.901e-05
3,6.85657,2.79636,3.77974,2.52061,0.00977,0.22222,0.00759,0.00392,2.01952,3.57368,1.98215,4.67e-05,4.67e-05,4.67e-05
4,8.50602,2.46951,3.67886,2.3534,0.01849,0.25,0.01437,0.00402,2.02165,3.5951,1.99533,6.307e-05,6.307e-05,6.307e-05
5,9.94874,2.20956,3.70123,2.06423,0.00025,0.16667,0.01843,0.00572,1.97601,3.59829,1.99599,7.812e-05,7.812e-05,7.812e-05
6,11.2625,1.80252,3.6036,1.91792,0.01411,0.19444,0.06796,0.02212,1.98615,3.59152,2.00017,9.185e-05,9.185e-05,9.185e-05
7,12.5184,1.90884,3.63591,1.8505,0.1769,0.25,0.12833,0.08318,1.85672,3.56674,1.94821,0.00010426,0.00010426,0.00010426
8,13.6314,1.77499,3.56978,1.83652,0.1671,0.30556,0.14405,0.12323,1.759,3.53929,1.99956,0.00011535,0.00011535,0.00011535
9,14.6324,1.56819,3.66713,1.64907,0.16938,0.36111,0.15926,0.13072,1.82823,3.53972,2.03375,0.00012512,0.00012512,0.00012512
10,15.5974,1.30747,3.46367,1.48356,0.16918,0.36111,0.16924,0.13616,1.7955,3.56148,2.02355,0.00013357,0.00013357,0.00013357
11,16.557,1.41022,3.40846,1.53789,0.19095,0.38889,0.183,0.13566,1.75835,3.562,2.00261,0.0001407,0.0001407,0.0001407
12,17.5078,1.71553,3.47968,1.77347,0.15964,0.41667,0.18829,0.13789,1.65711,3.57946,1.94767,0.00014651,0.00014651,0.00014651
13,18.4735,1.34616,3.28131,1.52353,0.11346,0.5,0.19226,0.14243,1.6887,3.55208,1.95925,0.000151,0.000151,0.000151
14,19.4455,1.34987,3.29547,1.49282,0.08593,0.52778,0.20385,0.1457,1.70592,3.57224,1.94902,0.00015417,0.00015417,0.00015417
15,20.4204,1.33634,3.29041,1.4464,0.05677,0.52778,0.20457,0.1418,1.64403,3.57009,1.89166,0.00015602,0.00015602,0.00015602
16,21.4161,1.34736,3.10378,1.45552,0.04475,0.52778,0.20908,0.14646,1.56254,3.53045,1.79301,0.00015655,0.00015655,0.00015655
17,22.4258,1.40741,3.1198,1.63449,0.03364,0.55556,0.21498,0.15127,1.57878,3.51128,1.79524,0.00015576,0.00015576,0.00015576
18,23.4586,1.26271,3.17365,1.42199,0.02745,0.58333,0.22373,0.16013,1.55573,3.50998,1.75421,0.00015365,0.00015365,0.00015365
19,24.5494,1.28451,3.12705,1.45635,0.02291,0.58333,0.22608,0.15508,1.50792,3.48539,1.68495,0.00015022,0.00015022,0.00015022
20,25.5588,1.18758,2.92934,1.42745,0.02186,0.63889,0.23337,0.15694,1.38595,3.45969,1.58763,0.00014547,0.00014547,0.00014547
21,140.863,1.51646,3.00256,1.75314,0.01747,0.55556,0.24383,0.16221,1.33718,3.39847,1.49431,0.0001394,0.0001394,0.0001394
22,141.892,1.36578,3.05785,1.58303,0.01849,0.63889,0.26186,0.17036,1.26962,3.32425,1.42603,0.00013201,0.00013201,0.00013201
23,142.851,1.27044,2.97973,1.4496,0.02045,0.66667,0.27194,0.18045,1.30887,3.28638,1.43056,0.0001233,0.0001233,0.0001233
24,143.804,1.10909,2.68847,1.39602,0.02045,0.66667,0.27194,0.18045,1.30887,3.28638,1.43056,0.00011327,0.00011327,0.00011327
25,144.812,1.29808,2.71947,1.5852,0.02163,0.72222,0.31106,0.19321,1.30017,3.24184,1.43832,0.00010192,0.00010192,0.00010192
26,145.771,1.14918,2.7623,1.42232,0.02157,0.77778,0.32081,0.20468,1.2777,3.19918,1.41011,8.925e-05,8.925e-05,8.925e-05
27,146.708,1.16727,2.76229,1.4474,0.02157,0.77778,0.32081,0.20468,1.2777,3.19918,1.41011,7.526e-05,7.526e-05,7.526e-05
28,147.774,1.15983,2.58844,1.31191,0.02155,0.83333,0.36813,0.23808,1.30503,3.1562,1.42236,5.995e-05,5.995e-05,5.995e-05
29,148.779,1.10202,2.7487,1.33163,0.02237,0.83333,0.4118,0.26054,1.23518,3.07426,1.40664,4.332e-05,4.332e-05,4.332e-05
30,149.78,1.21204,2.61709,1.54154,0.02237,0.83333,0.4118,0.26054,1.23518,3.07426,1.40664,2.537e-05,2.537e-05,2.537e-05
