epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.24699,1.20375,2.79935,1.4098,0.02297,0.83333,0.41664,0.26975,1.24651,3.0711,1.37813,1e-05,1e-05,1e-05
2,8.14777,1.14797,2.83224,1.39295,0.02432,0.83333,0.40576,0.26625,1.26399,3.07111,1.37997,2.901e-05,2.901e-05,2.901e-05
3,10.1032,1.22304,2.77213,1.40826,0.02574,0.83333,0.46162,0.31545,1.23391,3.04487,1.40676,4.67e-05,4.67e-05,4.67e-05
4,11.878,1.13791,2.80813,1.43133,0.02352,0.83333,0.46753,0.33659,1.24993,3.00978,1.43125,6.307e-05,6.307e-05,6.307e-05
5,13.5547,1.11968,2.72342,1.34208,0.02509,0.80556,0.46665,0.32462,1.31625,2.99502,1.3999,7.812e-05,7.812e-05,7.812e-05
6,14.9285,1.03364,2.81018,1.37198,0.02508,0.83333,0.44918,0.29634,1.32928,2.96703,1.45453,9.185e-05,9.185e-05,9.185e-05
7,16.1606,1.07164,2.75721,1.30486,0.02565,0.80556,0.42039,0.29605,1.42881,2.97268,1.48732,0.00010426,0.00010426,0.00010426
8,17.2423,1.08808,2.67254,1.29069,0.02469,0.80556,0.45125,0.29121,1.34456,2.93024,1.4471,0.00011535,0.00011535,0.00011535
9,18.2593,1.00501,2.69294,1.21025,0.99603,0.16667,0.45055,0.30884,1.3797,2.87955,1.45126,0.00012512,0.00012512,0.00012512
10,19.4435,0.99571,2.78636,1.2939,1,0.08191,0.50346,0.3308,1.39618,2.78556,1.47709,0.00013357,0.00013357,0.00013357
11,20.4612,1.09918,2.63431,1.35093,0.99249,0.16667,0.4998,0.31141,1.45802,2.70842,1.50855,0.0001407,0.0001407,0.0001407
12,21.4651,1.19077,2.66007,1.42045,0.99286,0.16667,0.49954,0.28132,1.51277,2.64188,1.54096,0.00014651,0.00014651,0.00014651
13,22.4581,0.94687,2.55359,1.28322,0.9867,0.16667,0.41178,0.25788,1.52164,2.68552,1.58365,0.000151,0.000151,0.000151
14,23.4565,0.99493,2.63178,1.24069,0.98326,0.16667,0.39195,0.26762,1.49637,2.68777,1.58862,0.00015417,0.00015417,0.00015417
15,24.5071,1.04913,2.48892,1.23626,0.98075,0.16667,0.34839,0.23833,1.50975,2.7206,1.62851,0.00015602,0.00015602,0.00015602
16,25.5026,1.01006,2.35627,1.29695,0.97944,0.16667,0.38655,0.28915,1.46115,2.66505,1.56889,0.00015655,0.00015655,0.00015655
17,26.5273,1.08863,2.37282,1.45256,0.97936,0.16667,0.41233,0.30555,1.40412,2.58153,1.50777,0.00015576,0.00015576,0.00015576
18,27.5458,1.13299,2.43849,1.357,0.96086,0.16667,0.43259,0.31278,1.3116,2.55811,1.44993,0.00015365,0.00015365,0.00015365
19,28.5622,1.01529,2.56944,1.29167,0.96086,0.16667,0.5408,0.361,1.31703,2.49356,1.45566,0.00015022,0.00015022,0.00015022
20,29.5802,1.01905,2.37495,1.28582,0.94462,0.19444,0.55942,0.3635,1.29479,2.49611,1.49712,0.00014547,0.00014547,0.00014547
21,141.605,1.18388,2.44906,1.51012,0.92809,0.22474,0.55925,0.36437,1.29771,2.50494,1.48173,0.0001394,0.0001394,0.0001394
22,142.64,0.89283,2.54592,1.33755,0.93082,0.23434,0.54438,0.36281,1.2818,2.46995,1.46314,0.00013201,0.00013201,0.00013201
23,143.651,0.94752,2.26201,1.29943,0.94473,0.2824,0.56904,0.37019,1.28479,2.47008,1.45367,0.0001233,0.0001233,0.0001233
24,144.596,0.84484,1.88912,1.24784,0.94473,0.2824,0.56904,0.37019,1.28479,2.47008,1.45367,0.00011327,0.00011327,0.00011327
25,145.591,0.98914,1.89129,1.32429,0.93638,0.34704,0.56075,0.36158,1.28315,2.4509,1.45262,0.00010192,0.00010192,0.00010192
26,146.564,0.93537,2.14239,1.29485,0.93256,0.3608,0.61056,0.39368,1.30992,2.42093,1.44742,8.925e-05,8.925e-05,8.925e-05
27,147.507,0.98353,2.06513,1.32798,0.93256,0.3608,0.61056,0.39368,1.30992,2.42093,1.44742,7.526e-05,7.526e-05,7.526e-05
28,148.476,1.06611,1.95182,1.23815,0.92819,0.37893,0.63691,0.39727,1.3038,2.3615,1.43185,5.995e-05,5.995e-05,5.995e-05
29,149.443,0.85675,1.86463,1.20257,0.94833,0.41042,0.6769,0.41436,1.28304,2.29353,1.4172,4.332e-05,4.332e-05,4.332e-05
30,150.419,0.94588,1.91978,1.39849,0.94833,0.41042,0.6769,0.41436,1.28304,2.29353,1.4172,2.537e-05,2.537e-05,2.537e-05
