epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.61975,2.6536,3.83197,2.28929,0.01046,0.36111,0.02138,0.01033,1.91052,3.52919,1.96575,1e-05,1e-05,1e-05
2,9.05196,2.7279,3.77348,2.48644,0.01382,0.30556,0.01346,0.00865,1.98282,3.54868,1.98125,2.9406e-05,2.9406e-05,2.9406e-05
3,10.3538,2.63204,3.80694,2.34045,0.00034,0.16667,0.00171,0.00092,2.03417,3.56012,2.00254,4.802e-05,4.802e-05,4.802e-05
4,11.6135,2.78057,3.93163,2.48737,0.01151,0.25,0.01632,0.00652,1.95019,3.55399,2.02884,6.5842e-05,6.5842e-05,6.5842e-05
5,13.1652,2.11319,3.56234,2.05265,0.0211,0.19444,0.01891,0.01492,1.83839,3.56913,1.98321,8.2872e-05,8.2872e-05,8.2872e-05
6,14.5718,1.63575,3.47765,1.79805,0.00353,0.19444,0.00318,0.00197,1.81992,3.57267,1.98401,9.911e-05,9.911e-05,9.911e-05
7,15.8236,1.73123,3.48809,1.78968,0.173,0.27778,0.11663,0.0917,1.63939,3.55344,1.8849,0.000114556,0.000114556,0.000114556
8,16.9716,1.64889,3.66042,1.79907,0.11703,0.33333,0.09712,0.06713,1.53806,3.54977,1.85682,0.00012921,0.00012921,0.00012921
9,18.03,1.48269,3.57192,1.55124,0.17436,0.38889,0.11827,0.08183,1.49816,3.53792,1.82105,0.000143072,0.000143072,0.000143072
10,18.9838,1.32797,3.38477,1.49219,0.18541,0.47222,0.12732,0.08939,1.448,3.54188,1.77416,0.000156142,0.000156142,0.000156142
11,19.9381,1.41311,3.3496,1.51053,0.09398,0.55556,0.19258,0.13221,1.42112,3.54958,1.73384,0.00016842,0.00016842,0.00016842
12,20.9201,1.36893,3.35088,1.49408,0.09188,0.66667,0.27091,0.19097,1.46931,3.50387,1.71366,0.000179906,0.000179906,0.000179906
13,21.8619,1.27724,3.29368,1.45243,0.06985,0.66667,0.31138,0.21416,1.40696,3.47015,1.63572,0.0001906,0.0001906,0.0001906
14,22.7924,1.28811,3.34591,1.45747,0.0473,0.66667,0.37666,0.27105,1.40127,3.45063,1.60248,0.000200502,0.000200502,0.000200502
