epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,48.4935,1.48552,2.05104,1.70376,0.92066,0.54106,0.6482,0.42282,1.16504,1.92597,1.35957,0.000493103,0.000493103,0.000493103
43,49.4066,1.18381,2.00747,1.28371,0.92066,0.54106,0.6482,0.42282,1.16504,1.92597,1.35957,0.00049657,0.00049657,0.00049657
44,50.3392,1.03365,1.58718,1.22585,0.84943,0.58333,0.64019,0.42203,1.20618,1.69857,1.34386,0.000499641,0.000499641,0.000499641
45,51.2497,1.04968,1.60826,1.17385,0.84943,0.58333,0.64019,0.42203,1.20618,1.69857,1.34386,0.000502316,0.000502316,0.000502316
46,52.242,1.0388,1.50153,1.2783,0.77808,0.61111,0.66429,0.43806,1.29801,1.6243,1.43206,0.000504595,0.000504595,0.000504595
47,53.181,1.10702,1.63837,1.38988,0.77808,0.61111,0.66429,0.43806,1.29801,1.6243,1.43206,0.000506478,0.000506478,0.000506478
48,54.1194,1.14525,1.62982,1.32387,0.73066,0.55542,0.82318,0.52496,1.3628,1.57976,1.48072,0.000507965,0.000507965,0.000507965
49,55.0182,1.00025,1.43833,1.22254,0.73066,0.55542,0.82318,0.52496,1.3628,1.57976,1.48072,0.000509056,0.000509056,0.000509056
50,55.9432,0.96997,1.65969,1.20129,0.7552,0.60845,0.86172,0.53146,1.36416,1.56855,1.47148,0.000509751,0.000509751,0.000509751
51,56.9418,0.98371,1.47132,1.18717,0.7552,0.60845,0.86172,0.53146,1.36416,1.56855,1.47148,0.000505,0.000505,0.000505
52,57.9455,1.0116,1.53349,1.2919,0.77304,0.61111,0.86592,0.56715,1.33113,1.57094,1.41512,0.0004951,0.0004951,0.0004951
53,58.9131,1.07985,2.44913,1.3633,0.77304,0.61111,0.86592,0.56715,1.33113,1.57094,1.41512,0.0004852,0.0004852,0.0004852
54,59.9186,1.00162,1.3008,1.15967,0.88581,0.57914,0.87281,0.54063,1.30338,1.47393,1.40385,0.0004753,0.0004753,0.0004753
55,60.8785,1.0235,1.37532,1.1777,0.88581,0.57914,0.87281,0.54063,1.30338,1.47393,1.40385,0.0004654,0.0004654,0.0004654
56,61.8172,0.99036,1.48601,1.22577,0.93965,0.60787,0.92115,0.51357,1.31177,1.40192,1.39762,0.0004555,0.0004555,0.0004555
57,62.7181,1.45065,2.43369,1.59353,0.93965,0.60787,0.92115,0.51357,1.31177,1.40192,1.39762,0.0004456,0.0004456,0.0004456
58,63.6541,1.03504,1.41462,1.27122,0.93822,0.59291,0.91356,0.53913,1.32774,1.44231,1.3844,0.0004357,0.0004357,0.0004357
59,64.5735,1.02949,1.34321,1.2426,0.93822,0.59291,0.91356,0.53913,1.32774,1.44231,1.3844,0.0004258,0.0004258,0.0004258
60,65.5485,0.99767,1.38414,1.21189,0.97671,0.57454,0.93478,0.56346,1.2748,1.386,1.34622,0.0004159,0.0004159,0.0004159
61,66.5518,0.9844,1.27389,1.19206,0.97671,0.57454,0.93478,0.56346,1.2748,1.386,1.34622,0.000406,0.000406,0.000406
62,67.5354,0.88786,1.21193,1.1759,0.96513,0.57946,0.95162,0.65146,1.24751,1.32201,1.32867,0.0003961,0.0003961,0.0003961
63,68.5076,1.09744,1.43083,1.43106,0.96513,0.57946,0.95162,0.65146,1.24751,1.32201,1.32867,0.0003862,0.0003862,0.0003862
64,69.4853,1.07704,1.67823,1.19674,0.80735,0.83333,0.9003,0.5937,1.24848,1.2961,1.31972,0.0003763,0.0003763,0.0003763
