epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.1767,2.80336,4.56862,2.11591,0.6114,0.27859,0.36235,0.16926,1.82423,3.04664,1.24641,0.00018,0.00018,0.00018
2,69.6822,1.5736,2.49932,1.21133,0.50467,0.58562,0.51181,0.25072,1.79492,1.88458,1.39549,0.000366337,0.000366337,0.000366337
3,105.73,1.40617,1.53908,1.21647,0.66415,0.49853,0.546,0.27558,1.85913,2.16111,1.51235,0.000548912,0.000548912,0.000548912
4,141.718,1.34569,1.41029,1.20348,0.04141,0.29326,0.14366,0.06401,2.98532,3.46196,2.23681,0.000727725,0.000727725,0.000727725
5,173.78,1.33117,1.34641,1.20237,0.57326,0.40182,0.43293,0.21222,1.92484,2.23099,1.63998,0.000902776,0.000902776,0.000902776
6,199.389,1.31965,1.26116,1.19503,0.60985,0.55718,0.58688,0.30959,1.67958,1.87199,1.45601,0.0009505,0.0009505,0.0009505
7,225.501,1.29119,1.19377,1.18572,0.62143,0.66432,0.65044,0.36392,1.50093,1.50809,1.38713,0.0009406,0.0009406,0.0009406
8,253.326,1.28,1.16031,1.18513,0.61817,0.59238,0.61811,0.34076,1.57756,1.44702,1.40631,0.0009307,0.0009307,0.0009307
9,281.75,1.27535,1.13824,1.17241,0.57017,0.63796,0.58795,0.34669,1.44435,1.44079,1.36332,0.0009208,0.0009208,0.0009208
10,311.446,1.23282,1.09979,1.16604,0.69943,0.7478,0.75713,0.45726,1.34218,1.1847,1.26992,0.0009109,0.0009109,0.0009109
11,337.979,1.22823,1.06075,1.16159,0.67694,0.78006,0.73651,0.4535,1.35144,1.12955,1.22658,0.000901,0.000901,0.000901
12,362.217,1.22353,1.02684,1.15109,0.66411,0.79179,0.769,0.47427,1.32993,1.14101,1.25006,0.0008911,0.0008911,0.0008911
13,390.553,1.20709,0.98538,1.13926,0.74224,0.80225,0.78772,0.49461,1.29705,1.03192,1.20054,0.0008812,0.0008812,0.0008812
14,421.087,1.19554,0.98381,1.1318,0.67618,0.83279,0.7945,0.50981,1.26523,1.02328,1.21716,0.0008713,0.0008713,0.0008713
15,454.866,1.16632,0.95203,1.124,0.75631,0.77363,0.79669,0.50579,1.23957,1.02165,1.19841,0.0008614,0.0008614,0.0008614
16,487.715,1.1647,0.92889,1.12775,0.69,0.84854,0.81869,0.50934,1.25803,0.97694,1.2012,0.0008515,0.0008515,0.0008515
17,512.488,1.20765,0.9569,1.14538,0.72531,0.739,0.77481,0.47409,1.38339,1.12129,1.22114,0.0008416,0.0008416,0.0008416
18,540.906,1.14755,0.92443,1.12813,0.76824,0.7654,0.78676,0.49504,1.30286,1.03178,1.24953,0.0008317,0.0008317,0.0008317
19,570.417,1.16078,0.9096,1.12498,0.70223,0.71554,0.75111,0.44656,1.35983,1.0958,1.30909,0.0008218,0.0008218,0.0008218
20,596.149,1.12098,0.88443,1.09784,0.68155,0.70295,0.71821,0.46174,1.30096,1.25177,1.23928,0.0008119,0.0008119,0.0008119
21,622.463,1.12813,0.87599,1.10299,0.69213,0.75367,0.76786,0.48016,1.38372,1.16071,1.3029,0.000802,0.000802,0.000802
22,648.374,1.12513,0.8795,1.10544,0.72756,0.83578,0.8059,0.52355,1.2229,0.96919,1.21212,0.0007921,0.0007921,0.0007921
23,666.742,1.11144,0.86238,1.08133,0.74403,0.80645,0.80318,0.51176,1.30083,1.00765,1.24722,0.0007822,0.0007822,0.0007822
24,685.318,1.11066,0.84958,1.09273,0.65119,0.76099,0.74484,0.48956,1.28759,1.32929,1.27624,0.0007723,0.0007723,0.0007723
25,707.696,1.08608,0.82742,1.0765,0.65351,0.66373,0.61791,0.38115,1.41507,1.71266,1.33332,0.0007624,0.0007624,0.0007624
26,730.976,1.08429,0.82925,1.07558,0.73238,0.8186,0.78818,0.50505,1.2577,0.97362,1.21467,0.0007525,0.0007525,0.0007525
27,753.689,1.08839,0.815,1.07425,0.70824,0.75367,0.75065,0.47754,1.27136,1.14526,1.22015,0.0007426,0.0007426,0.0007426
28,775.797,1.07294,0.81223,1.06898,0.70441,0.739,0.72802,0.46602,1.33498,1.13636,1.26999,0.0007327,0.0007327,0.0007327
29,798.394,1.06118,0.80158,1.07044,0.71612,0.83578,0.78627,0.52201,1.24502,0.97979,1.22815,0.0007228,0.0007228,0.0007228
30,816.748,1.04199,0.77849,1.05255,0.72218,0.81565,0.78866,0.50956,1.30809,1.04168,1.23776,0.0007129,0.0007129,0.0007129
31,837.795,1.02976,0.76889,1.05671,0.76872,0.77713,0.79467,0.51981,1.28042,0.93889,1.25072,0.000703,0.000703,0.000703
32,862.164,1.0209,0.75248,1.05235,0.67126,0.82111,0.75692,0.48039,1.22522,0.96097,1.23482,0.0006931,0.0006931,0.0006931
33,888.108,1.01702,0.76171,1.04717,0.76224,0.78033,0.8081,0.52998,1.21624,0.93051,1.20497,0.0006832,0.0006832,0.0006832
34,912.567,1.02203,0.74786,1.04726,0.66025,0.47872,0.53481,0.31235,1.51859,2.3196,1.43622,0.0006733,0.0006733,0.0006733
35,933.748,0.99967,0.72608,1.04154,0.73538,0.60411,0.67886,0.43327,1.41108,1.78824,1.31917,0.0006634,0.0006634,0.0006634
36,957.055,0.99455,0.71658,1.04144,0.77219,0.7566,0.78865,0.51019,1.30435,1.10226,1.24215,0.0006535,0.0006535,0.0006535
37,974.402,0.99155,0.71934,1.02777,0.733,0.81525,0.80865,0.53518,1.24494,0.89661,1.25657,0.0006436,0.0006436,0.0006436
38,995.608,0.98411,0.70133,1.0235,0.73446,0.81818,0.82077,0.55667,1.21116,0.91028,1.2046,0.0006337,0.0006337,0.0006337
39,1017.74,0.96386,0.70317,1.02371,0.69444,0.80059,0.77554,0.49864,1.31955,1.08296,1.24102,0.0006238,0.0006238,0.0006238
40,1038.43,0.96431,0.70508,1.01772,0.75444,0.79179,0.78156,0.51438,1.26241,0.9351,1.28025,0.0006139,0.0006139,0.0006139
41,1060.25,0.97502,0.69645,1.01978,0.7178,0.80645,0.79713,0.5375,1.20468,1.05414,1.22342,0.000604,0.000604,0.000604
42,1084.89,0.94539,0.67926,1.00665,0.77595,0.75158,0.80755,0.52903,1.23966,0.97696,1.23626,0.0005941,0.0005941,0.0005941
43,1109.43,0.93429,0.65934,1.01017,0.6759,0.79506,0.69882,0.45068,1.3385,1.15273,1.30067,0.0005842,0.0005842,0.0005842
44,1128.13,0.9242,0.6466,1.00173,0.77225,0.7566,0.8021,0.52751,1.26399,0.93733,1.29618,0.0005743,0.0005743,0.0005743
45,1148.6,0.91162,0.64981,0.99795,0.75332,0.84457,0.7921,0.53209,1.18542,0.8973,1.20237,0.0005644,0.0005644,0.0005644
46,1165.97,0.89654,0.63297,0.98495,0.76403,0.80059,0.77905,0.49073,1.35044,1.02724,1.34547,0.0005545,0.0005545,0.0005545
47,1186.72,0.90592,0.63125,0.98899,0.76334,0.81345,0.81688,0.56051,1.20724,0.89995,1.24011,0.0005446,0.0005446,0.0005446
48,1208.86,0.89283,0.62571,0.9845,0.77016,0.737,0.79264,0.54091,1.21561,0.97579,1.21728,0.0005347,0.0005347,0.0005347
49,1230.81,0.88039,0.61641,0.9855,0.75394,0.75953,0.78487,0.51919,1.27938,0.98397,1.26788,0.0005248,0.0005248,0.0005248
50,1256.21,0.87586,0.61122,0.97691,0.77474,0.80059,0.81345,0.54713,1.22319,0.9158,1.2388,0.0005149,0.0005149,0.0005149
51,1274.86,0.87806,0.6067,0.98142,0.77982,0.7654,0.8002,0.53919,1.2153,0.98826,1.22384,0.000505,0.000505,0.000505
52,1296.12,0.87463,0.60014,0.99038,0.7321,0.82543,0.80836,0.54434,1.25079,0.96001,1.22995,0.0004951,0.0004951,0.0004951
53,1320.64,0.85931,0.58438,0.97796,0.75945,0.79623,0.80636,0.54799,1.21556,0.91742,1.2294,0.0004852,0.0004852,0.0004852
